                           TxHash                                 TxIx        Amount
026916d02ee5df1b3f7b523ee7bd8ad77a8b2445cbb4d103c14c5ce7e0251ec5     0        6262430 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0275d0ce26161627cee1cf33acb8512d930c1bf1132551de3914aa961f2c24a0     0        8831190 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
02987a042d210f29ad1cf747d966c8f9eff1d48c7ec60af69eacb7c045cb2647     0        35195460 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
02a32fb1f8e5da43ee0544242e72d311279575bcc74757f288e4e5c92b8b550f     0        6262430 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
02a9fe94ae0a3bb3e4c7dd03d5fa0eee9e450f9c8c19cc11f2846a188fe6ee57     0        10214700 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
030b830a404afb7c8cb5f1b0ebf868da9c22eab6aecadabab2c2a4115fda8ce7     0        32031920 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0311485e63dfad7ee9c05155c696530e2b5da55f7bc58f49f2240e2284a29133     0        6262430 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
031c8cb421fc5032a83105be6d54ad378345b9bda1733688b18a6e175fbc46f3     0        4611700 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
032adb1eed75064fa85492c8cc902d0b4957055272b66343ee8dfb7fc9b09028     0        35191150 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
035b0b1ac7502c6e5b2b605214203aa58a76baea937a05813fbaf89ae65277ca     0        4611700 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
03679f1cc24ecf4bf728bc1aaa66f87f5a8e03481768d81508ad7260ee5887d7     0        35191150 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0371e4f7dc818d2ab76471b5f292d97b08a9b45cd42069d0fbf61189c9195b86     0        9688880 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
03767caf689c0edccfe4484768bc40424be54a198d2ff8c3b47f162345da431e     0        19476890 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
038a6ed6fb896e0ae4325b0e27a94718e464d2a653a98f279d6248ec26814f87     0        23278310 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
039077246f663a9d1d22b8a8446a56fd80728ebbc78294900313f994fa9d65df     0        8831190 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
